league,pitch_type,venue_avg,innings,pp_runs,pp_wickets,pp_run_rate,pp_fours,pp_sixes,pp_dot_balls,pp_boundary_pct,pp_dot_pct,wickets_in_hand,final_score,final_wickets
T20 Blast,2,161,2,49,3,8.17,4,1,20,13.9,55.6,7,118,8
BBL,0,171,1,63,0,10.5,7,0,21,19.4,58.3,10,174,2
PSL,2,162,2,49,4,8.17,7,2,19,25.0,52.8,6,141,8
ILT20,0,157,1,33,5,5.5,3,1,12,11.1,33.3,5,86,9
Super Smash,1,160,2,43,3,7.17,4,2,22,16.7,61.1,7,115,6
T20 Blast,2,147,1,55,0,9.17,7,2,19,25.0,52.8,10,165,4
ILT20,2,142,2,65,1,10.83,6,3,16,25.0,44.4,9,212,4
CPL,0,151,1,33,3,5.5,2,2,17,11.1,47.2,7,72,7
BPL,2,161,2,45,1,7.5,6,0,22,16.7,61.1,9,149,3
MLC,0,161,1,36,2,6.0,4,2,20,16.7,55.6,8,114,4
ILT20,1,164,2,39,3,6.5,3,0,14,8.3,38.9,7,121,7
T20I,1,173,1,53,1,8.83,4,0,22,11.1,61.1,9,150,5
IPL,1,157,2,55,2,9.17,4,3,19,19.4,52.8,8,167,4
Super Smash,0,171,1,42,3,7.0,4,2,22,16.7,61.1,7,84,9
T20I,2,140,2,51,1,8.5,5,2,21,19.4,58.3,9,176,7
BPL,1,162,1,39,4,6.5,4,1,18,13.9,50.0,6,97,8
SA20,1,161,2,56,0,9.33,5,1,20,16.7,55.6,10,170,5
SA20,1,171,1,52,3,8.67,4,2,12,16.7,33.3,7,149,8
CPL,1,165,2,44,2,7.33,4,1,16,13.9,44.4,8,123,5
Super Smash,2,158,1,52,2,8.67,6,3,17,25.0,47.2,8,145,5
CPL,0,161,2,49,2,8.17,4,3,17,19.4,47.2,8,115,5
Super Smash,1,147,1,27,3,4.5,2,0,12,5.6,33.3,7,58,9
BBL,1,143,2,47,2,7.83,4,1,14,13.9,38.9,8,137,4
PSL,1,151,1,55,2,9.17,6,1,15,19.4,41.7,8,162,6
Super Smash,1,155,2,50,1,8.33,4,3,22,19.4,61.1,9,159,6
MLC,0,161,1,54,1,9.0,7,1,17,22.2,47.2,9,135,5
BPL,2,143,2,31,5,5.17,3,0,22,8.3,61.1,5,79,10
T20 World Cup,2,151,1,65,0,10.83,9,1,20,27.8,55.6,10,200,6
PSL,0,160,2,46,3,7.67,5,0,13,13.9,36.1,7,128,6
LPL,0,176,1,49,3,8.17,4,2,12,16.7,33.3,7,120,5
T20 World Cup,0,164,2,43,3,7.17,3,1,18,11.1,50.0,7,134,6
T20I,0,160,1,59,1,9.83,6,2,22,22.2,61.1,9,165,6
ILT20,2,170,2,44,1,7.33,4,1,16,13.9,44.4,9,122,7
BBL,2,143,1,61,1,10.17,8,2,18,27.8,50.0,9,207,5
T20 Blast,0,138,2,33,4,5.5,4,0,20,11.1,55.6,6,75,8
LPL,1,173,1,50,2,8.33,6,2,14,22.2,38.9,8,135,7
Super Smash,0,178,2,37,3,6.17,3,2,17,13.9,47.2,7,94,9
SA20,1,144,1,51,1,8.5,6,0,20,16.7,55.6,9,157,4
Super Smash,1,179,2,39,4,6.5,4,2,19,16.7,52.8,6,115,9
LPL,1,145,1,66,1,11.0,8,3,20,30.6,55.6,9,210,6
SA20,2,159,2,54,2,9.0,4,0,19,11.1,52.8,8,161,8
T20 Blast,0,144,1,43,2,7.17,4,0,18,11.1,50.0,8,101,4
BBL,0,175,2,58,1,9.67,8,2,20,27.8,55.6,9,139,4
T20I,1,141,1,38,3,6.33,3,1,13,11.1,36.1,7,117,8
T20I,1,149,2,39,4,6.5,3,1,19,11.1,52.8,6,108,10
T20I,2,171,1,61,1,10.17,8,1,17,25.0,47.2,9,189,4
T20I,2,164,2,49,3,8.17,5,1,13,16.7,36.1,7,144,9
LPL,1,138,1,50,2,8.33,6,1,14,19.4,38.9,8,141,5
BBL,2,144,2,61,3,10.17,8,3,12,30.6,33.3,7,193,7
T20 World Cup,1,177,1,30,5,5.0,3,0,14,8.3,38.9,5,69,8
T20 World Cup,1,167,2,53,1,8.83,7,1,16,22.2,44.4,9,156,3
T20 Blast,1,164,1,55,2,9.17,6,0,15,16.7,41.7,8,162,6
SA20,0,148,2,56,2,9.33,6,0,21,16.7,58.3,8,171,4
BPL,2,178,1,69,1,11.5,7,0,19,19.4,52.8,9,202,5
Super Smash,0,141,2,26,3,4.33,3,0,21,8.3,58.3,7,57,5
MLC,0,141,1,53,1,8.83,6,0,16,16.7,44.4,9,138,4
T20 Blast,0,174,2,37,2,6.17,5,1,18,16.7,50.0,8,99,7
LPL,1,155,1,14,5,2.33,2,0,22,5.6,61.1,5,48,10
IPL,0,149,2,49,2,8.17,4,3,22,19.4,61.1,8,130,4
Super Smash,0,169,1,40,3,6.67,5,1,15,16.7,41.7,7,97,7
BBL,1,139,2,50,2,8.33,7,1,20,22.2,55.6,8,150,4
BPL,2,158,1,50,1,8.33,6,3,17,25.0,47.2,9,145,6
BBL,0,178,2,56,2,9.33,5,0,15,13.9,41.7,8,144,5
MLC,1,149,1,34,3,5.67,2,0,16,5.6,44.4,7,88,7
PSL,1,168,2,45,3,7.5,3,1,21,11.1,58.3,7,127,5
T20 Blast,2,139,1,50,2,8.33,5,1,22,16.7,61.1,8,132,5
T20 Blast,1,155,2,45,3,7.5,5,0,21,13.9,58.3,7,109,6
IPL,2,145,1,64,2,10.67,7,1,15,22.2,41.7,8,205,4
IPL,1,175,2,38,5,6.33,3,2,22,13.9,61.1,5,100,10
PSL,1,140,1,38,3,6.33,5,0,13,13.9,36.1,7,99,7
IPL,0,173,2,17,6,2.83,2,0,18,5.6,50.0,4,47,10
T20 World Cup,2,153,1,46,4,7.67,3,2,10,13.9,27.8,6,127,9
Super Smash,2,171,2,42,2,7.0,4,0,14,11.1,38.9,8,130,8
T20I,0,144,1,54,1,9.0,7,1,17,22.2,47.2,9,145,4
MLC,1,159,2,44,3,7.33,5,0,18,13.9,50.0,7,125,7
BBL,0,163,1,43,3,7.17,6,2,22,22.2,61.1,7,116,7
Super Smash,1,175,2,50,0,8.33,5,0,18,13.9,50.0,10,137,5
CPL,2,145,1,51,4,8.5,6,2,11,22.2,30.6,6,165,9
IPL,0,173,2,52,2,8.67,5,2,21,19.4,58.3,8,150,5
T20I,1,146,1,31,4,5.17,2,0,12,5.6,33.3,6,81,7
ILT20,0,145,2,48,1,8.0,5,1,16,16.7,44.4,9,128,3
PSL,1,157,1,59,1,9.83,8,2,18,27.8,50.0,9,181,7
MLC,2,169,2,42,2,7.0,6,2,19,22.2,52.8,8,130,5
T20 Blast,0,164,1,28,2,4.67,4,1,18,13.9,50.0,8,69,8
ILT20,1,167,2,28,4,4.67,2,1,14,8.3,38.9,6,82,6
IPL,2,138,1,45,3,7.5,3,0,17,8.3,47.2,7,133,5
BBL,1,159,2,37,3,6.17,3,0,13,8.3,36.1,7,117,6
MLC,0,145,1,35,3,5.83,4,1,21,13.9,58.3,7,96,7
ILT20,1,144,2,53,1,8.83,5,1,16,16.7,44.4,9,168,3
PSL,1,145,1,43,3,7.17,3,0,16,8.3,44.4,7,111,5
BPL,1,158,2,49,3,8.17,5,2,17,19.4,47.2,7,138,5
Super Smash,1,154,1,33,2,5.5,4,0,14,11.1,38.9,8,84,6
CPL,2,157,2,13,6,2.17,1,0,11,2.8,30.6,4,28,8
BBL,1,139,1,37,3,6.17,3,2,20,13.9,55.6,7,112,9
T20 Blast,1,165,2,52,2,8.67,4,2,21,16.7,58.3,8,132,4
T20 Blast,2,151,1,59,0,9.83,7,2,18,25.0,50.0,10,166,6
BBL,2,175,2,61,2,10.17,8,2,19,27.8,52.8,8,200,5
ILT20,1,150,1,55,0,9.17,5,1,18,16.7,50.0,10,175,3
MLC,0,176,2,45,2,7.5,3,1,20,11.1,55.6,8,118,8
BBL,1,142,1,49,2,8.17,7,3,15,27.8,41.7,8,145,6
CPL,1,155,2,42,0,7.0,6,0,18,16.7,50.0,10,108,3
SA20,0,153,1,52,3,8.67,6,2,13,22.2,36.1,7,145,8
BBL,1,153,2,35,3,5.83,2,0,19,5.6,52.8,7,92,6
CPL,2,166,1,51,1,8.5,4,3,19,19.4,52.8,9,161,3
IPL,0,145,2,46,2,7.67,5,0,19,13.9,52.8,8,152,8
SA20,1,179,1,77,1,12.83,8,4,20,33.3,55.6,9,244,5
MLC,0,168,2,40,2,6.67,4,1,15,13.9,41.7,8,103,5
BPL,1,168,1,20,6,3.33,1,1,20,5.6,55.6,4,53,10
T20I,1,142,2,44,3,7.33,6,0,17,16.7,47.2,7,125,9
ILT20,0,177,1,30,4,5.0,3,1,14,11.1,38.9,6,74,7
T20I,2,142,2,45,3,7.5,5,1,17,16.7,47.2,7,135,5
T20 World Cup,0,148,1,36,3,6.0,5,0,12,13.9,33.3,7,96,9
ILT20,1,153,2,46,3,7.67,4,0,15,11.1,41.7,7,124,7
LPL,0,176,1,32,5,5.33,4,1,10,13.9,27.8,5,47,9
BPL,2,148,2,49,1,8.17,7,1,19,22.2,52.8,9,145,4
MLC,1,164,1,46,1,7.67,3,0,22,8.3,61.1,9,136,4
PSL,2,152,2,46,3,7.67,4,0,22,11.1,61.1,7,120,9
T20 Blast,1,162,1,49,0,8.17,4,3,21,19.4,58.3,10,134,5
BBL,1,177,2,62,0,10.33,6,1,20,19.4,55.6,10,202,5
BPL,1,150,1,37,3,6.17,3,1,16,11.1,44.4,7,88,6
T20 Blast,2,180,2,40,2,6.67,5,1,18,16.7,50.0,8,104,6
T20 World Cup,2,157,1,35,4,5.83,2,2,13,11.1,36.1,6,90,8
CPL,0,169,2,24,4,4.0,3,1,12,11.1,33.3,6,52,9
SA20,1,170,1,55,1,9.17,7,3,19,27.8,52.8,9,171,6
MLC,0,173,2,38,3,6.33,4,1,16,13.9,44.4,7,94,9
Super Smash,1,163,1,53,0,8.83,7,2,18,25.0,50.0,10,181,4
BPL,2,173,2,46,3,7.67,5,2,18,19.4,50.0,7,112,8
SA20,1,180,1,31,5,5.17,4,1,20,13.9,55.6,5,75,7
T20 Blast,2,171,2,61,2,10.17,8,0,19,22.2,52.8,8,171,5
Super Smash,1,157,1,48,1,8.0,5,3,22,22.2,61.1,9,131,5
Super Smash,0,138,2,46,2,7.67,5,2,16,19.4,44.4,8,126,7
T20I,1,164,1,47,1,7.83,4,2,21,16.7,58.3,9,143,5
BPL,1,147,2,37,2,6.17,4,1,22,13.9,61.1,8,114,8
SA20,2,175,1,46,4,7.67,4,1,11,13.9,30.6,6,140,8
IPL,1,173,2,59,2,9.83,6,2,17,22.2,47.2,8,201,6
MLC,2,160,1,44,4,7.33,4,2,14,16.7,38.9,6,128,10
IPL,2,159,2,45,4,7.5,3,2,22,13.9,61.1,6,128,6
LPL,2,157,1,51,2,8.5,4,3,17,19.4,47.2,8,158,5
BBL,1,141,2,49,3,8.17,6,1,18,19.4,50.0,7,148,8
LPL,1,173,1,59,2,9.83,7,3,17,27.8,47.2,8,171,5
IPL,1,152,2,32,4,5.33,2,0,16,5.6,44.4,6,98,10
SA20,0,157,1,49,1,8.17,4,2,22,16.7,61.1,9,129,4
T20 Blast,1,138,2,39,1,6.5,4,0,17,11.1,47.2,9,112,4
BPL,2,152,1,42,3,7.0,6,1,18,19.4,50.0,7,127,8
CPL,1,145,2,38,2,6.33,4,1,16,13.9,44.4,8,114,5
PSL,0,174,1,41,3,6.83,5,2,14,19.4,38.9,7,100,8
PSL,1,146,2,61,1,10.17,7,2,21,25.0,58.3,9,177,5
SA20,2,140,1,28,4,4.67,2,1,16,8.3,44.4,6,77,8
T20I,2,139,2,33,4,5.5,3,0,18,8.3,50.0,6,80,9
SA20,1,155,1,67,1,11.17,8,1,22,25.0,61.1,9,211,4
MLC,1,146,2,53,2,8.83,6,0,22,16.7,61.1,8,150,6
ILT20,1,140,1,58,1,9.67,6,3,17,25.0,47.2,9,168,6
SA20,0,156,2,50,1,8.33,7,1,16,22.2,44.4,9,157,5
T20 Blast,1,164,1,40,2,6.67,5,2,21,19.4,58.3,8,120,8
Super Smash,0,163,2,43,1,7.17,3,2,16,13.9,44.4,9,104,3
T20I,2,159,1,63,1,10.5,7,1,18,22.2,50.0,9,211,7
CPL,1,154,2,44,0,7.33,5,0,21,13.9,58.3,10,133,4
Super Smash,2,156,1,44,2,7.33,4,0,14,11.1,38.9,8,126,6
PSL,2,148,2,53,3,8.83,6,0,12,16.7,33.3,7,151,5
SA20,2,167,1,46,2,7.67,5,2,15,19.4,41.7,8,160,7
MLC,0,171,2,41,4,6.83,4,2,15,16.7,41.7,6,107,10
MLC,2,158,1,43,3,7.17,5,2,13,19.4,36.1,7,134,7
T20 Blast,0,173,2,14,5,2.33,2,1,9,8.3,25.0,5,29,10
BBL,1,177,1,55,3,9.17,7,0,20,19.4,55.6,7,160,9
ILT20,1,169,2,44,4,7.33,5,0,16,13.9,44.4,6,124,6
T20 Blast,1,160,1,44,1,7.33,3,0,22,8.3,61.1,9,127,7
MLC,0,146,2,46,1,7.67,6,1,17,19.4,47.2,9,112,6
CPL,0,153,1,50,1,8.33,4,3,17,19.4,47.2,9,114,3
ILT20,2,152,2,50,1,8.33,7,0,18,19.4,50.0,9,162,6
BBL,1,152,1,46,3,7.67,5,2,16,19.4,44.4,7,136,9
T20 World Cup,1,173,2,55,4,9.17,5,2,18,19.4,50.0,6,145,6
PSL,2,180,1,65,1,10.83,6,4,18,27.8,50.0,9,203,4
T20 World Cup,0,178,2,26,5,4.33,3,0,17,8.3,47.2,5,52,10
T20 World Cup,2,152,1,58,0,9.67,4,2,18,16.7,50.0,10,185,5
ILT20,2,172,2,52,2,8.67,4,0,16,11.1,44.4,8,154,5
ILT20,1,145,1,63,0,10.5,7,2,21,25.0,58.3,10,210,5
SA20,0,173,2,39,3,6.5,5,1,14,16.7,38.9,7,105,5
CPL,0,155,1,37,2,6.17,3,2,21,13.9,58.3,8,90,8
BPL,1,165,2,43,2,7.17,5,2,17,19.4,47.2,8,114,6
PSL,1,152,1,18,5,3.0,2,0,14,5.6,38.9,5,43,10
MLC,0,158,2,38,2,6.33,5,2,22,19.4,61.1,8,91,4
BPL,1,150,1,39,3,6.5,4,1,12,13.9,33.3,7,102,8
CPL,0,170,2,25,3,4.17,2,0,17,5.6,47.2,7,63,7
Super Smash,1,154,1,54,2,9.0,5,0,17,13.9,47.2,8,155,8
T20 World Cup,0,169,2,38,1,6.33,5,0,22,13.9,61.1,9,112,6
BBL,1,179,1,54,2,9.0,4,1,15,13.9,41.7,8,167,7
PSL,0,154,2,58,1,9.67,8,0,20,22.2,55.6,9,154,7
BBL,0,138,1,24,5,4.0,3,0,13,8.3,36.1,5,54,10
ILT20,0,169,2,44,2,7.33,5,2,14,19.4,38.9,8,126,8
BPL,2,149,1,48,1,8.0,5,2,20,19.4,55.6,9,152,5
Super Smash,0,165,2,42,2,7.0,6,0,18,16.7,50.0,8,105,4
T20I,1,173,1,41,3,6.83,3,1,17,11.1,47.2,7,108,8
BPL,1,176,2,57,2,9.5,4,2,14,16.7,38.9,8,168,6
SA20,1,155,1,48,2,8.0,5,2,22,19.4,61.1,8,144,6
T20 Blast,1,156,2,43,1,7.17,3,1,17,11.1,47.2,9,113,7
CPL,2,162,1,53,2,8.83,4,0,14,11.1,38.9,8,153,8
T20 Blast,1,163,2,47,2,7.83,5,1,14,16.7,38.9,8,105,5
SA20,2,166,1,58,2,9.67,5,0,22,13.9,61.1,8,172,4
CPL,1,164,2,53,1,8.83,5,0,21,13.9,58.3,9,155,3
LPL,2,150,1,41,2,6.83,4,2,20,16.7,55.6,8,135,7
IPL,1,164,2,27,6,4.5,3,0,6,8.3,16.7,4,79,9
ILT20,1,143,1,41,3,6.83,5,1,15,16.7,41.7,7,121,5
BBL,2,157,2,49,1,8.17,6,0,22,16.7,61.1,9,173,5
MLC,2,141,1,50,1,8.33,6,0,20,16.7,55.6,9,150,5
CPL,2,141,2,41,2,6.83,3,0,14,8.3,38.9,8,110,5
BPL,1,147,1,37,2,6.17,4,2,21,16.7,58.3,8,105,8
T20I,0,141,2,33,2,5.5,2,0,20,5.6,55.6,8,108,4
T20I,1,152,1,47,1,7.83,4,1,22,13.9,61.1,9,164,7
SA20,0,161,2,34,1,5.67,4,0,18,11.1,50.0,9,88,3
SA20,2,149,1,59,1,9.83,6,0,18,16.7,50.0,9,195,5
T20 World Cup,0,149,2,49,2,8.17,5,2,22,19.4,61.1,8,120,5
BPL,0,151,1,34,4,5.67,2,2,15,11.1,41.7,6,79,9
MLC,0,159,2,33,4,5.5,2,1,20,8.3,55.6,6,75,9
T20 Blast,1,143,1,50,2,8.33,7,3,18,27.8,50.0,8,146,5
LPL,1,157,2,42,3,7.0,5,2,20,19.4,55.6,7,113,7
T20 World Cup,2,148,1,62,1,10.33,5,2,19,19.4,52.8,9,201,7
BBL,1,162,2,60,2,10.0,6,3,15,25.0,41.7,8,177,5
PSL,1,155,1,30,4,5.0,4,1,19,13.9,52.8,6,71,6
BBL,0,143,2,37,4,6.17,5,2,20,19.4,55.6,6,95,10
T20 Blast,0,155,1,41,3,6.83,5,0,13,13.9,36.1,7,93,5
BPL,1,166,2,35,3,5.83,5,1,13,16.7,36.1,7,96,6
SA20,2,170,1,54,2,9.0,7,3,16,27.8,44.4,8,160,6
PSL,1,141,2,61,1,10.17,7,3,20,27.8,55.6,9,173,7
PSL,2,147,1,53,2,8.83,4,2,17,16.7,47.2,8,157,7
BPL,0,150,2,31,3,5.17,3,0,15,8.3,41.7,7,76,9
Super Smash,0,169,1,38,3,6.33,4,1,15,13.9,41.7,7,98,6
LPL,2,171,2,51,2,8.5,5,1,21,16.7,58.3,8,135,6
Super Smash,0,151,1,37,2,6.17,4,2,19,16.7,52.8,8,92,8
BPL,0,181,2,50,1,8.33,7,1,19,22.2,52.8,9,130,6
T20 World Cup,1,170,1,38,3,6.33,3,1,13,11.1,36.1,7,103,7
PSL,2,160,2,32,4,5.33,2,2,18,11.1,50.0,6,84,7
T20 Blast,1,139,1,52,2,8.67,5,1,14,16.7,38.9,8,135,4
T20 Blast,0,157,2,47,2,7.83,4,1,20,13.9,55.6,8,113,6
BPL,2,177,1,49,1,8.17,4,0,20,11.1,55.6,9,149,5
ILT20,2,175,2,52,2,8.67,4,0,20,11.1,55.6,8,160,4
BPL,2,161,1,40,2,6.67,3,2,16,13.9,44.4,8,110,8
T20I,2,172,2,59,2,9.83,6,3,22,25.0,61.1,8,175,7
BBL,0,169,1,45,1,7.5,4,1,19,13.9,52.8,9,134,7
T20 World Cup,2,142,2,50,1,8.33,7,1,17,22.2,47.2,9,139,3
Super Smash,1,162,1,38,4,6.33,5,1,22,16.7,61.1,6,97,6
T20 World Cup,2,145,2,53,1,8.83,4,3,21,19.4,58.3,9,176,3
IPL,1,170,1,52,3,8.67,6,0,17,16.7,47.2,7,166,7
T20I,2,168,2,59,2,9.83,5,0,19,13.9,52.8,8,171,6
PSL,1,167,1,47,1,7.83,4,2,19,16.7,52.8,9,141,3
T20I,1,152,2,52,1,8.67,6,3,20,25.0,55.6,9,150,6
Super Smash,1,162,1,43,1,7.17,5,0,19,13.9,52.8,9,123,6
T20I,2,140,2,55,1,9.17,7,3,19,27.8,52.8,9,175,5
T20 World Cup,1,172,1,24,4,4.0,2,1,16,8.3,44.4,6,62,9
BPL,0,175,2,59,0,9.83,7,3,19,27.8,52.8,10,152,3
PSL,2,146,1,60,2,10.0,7,0,21,19.4,58.3,8,169,4
ILT20,1,180,2,46,1,7.67,5,2,19,19.4,52.8,9,133,4
Super Smash,1,168,1,49,2,8.17,5,3,18,22.2,50.0,8,134,7
ILT20,1,181,2,45,2,7.5,5,2,14,19.4,38.9,8,138,5
ILT20,2,155,1,35,4,5.83,4,2,22,16.7,61.1,6,87,6
PSL,2,165,2,59,1,9.83,8,0,22,22.2,61.1,9,179,7
MLC,2,181,1,50,3,8.33,5,0,14,13.9,38.9,7,153,5
ILT20,1,173,2,39,2,6.5,3,1,22,11.1,61.1,8,109,6
T20 Blast,2,158,1,56,3,9.33,5,1,19,16.7,52.8,7,151,5
BPL,1,162,2,44,2,7.33,3,1,14,11.1,38.9,8,126,6
SA20,1,149,1,38,4,6.33,4,1,15,13.9,41.7,6,108,10
IPL,1,175,2,66,2,11.0,9,2,14,30.6,38.9,8,203,7
T20 Blast,0,146,1,44,2,7.33,3,2,17,13.9,47.2,8,115,8
Super Smash,1,142,2,21,5,3.5,3,0,8,8.3,22.2,5,56,10
SA20,0,138,1,52,0,8.67,6,3,22,25.0,61.1,10,142,2
ILT20,0,170,2,29,5,4.83,3,1,18,11.1,50.0,5,73,9
MLC,1,146,1,55,0,9.17,6,0,20,16.7,55.6,10,152,6
LPL,1,179,2,35,2,5.83,4,2,20,16.7,55.6,8,95,5
Super Smash,0,167,1,15,6,2.5,1,0,19,2.8,52.8,4,30,10
T20I,1,157,2,62,1,10.33,6,2,16,22.2,44.4,9,177,3
BBL,1,145,1,48,3,8.0,6,3,14,25.0,38.9,7,137,5
T20 Blast,0,152,2,55,1,9.17,4,3,19,19.4,52.8,9,134,7
ILT20,1,144,1,40,3,6.67,4,0,13,11.1,36.1,7,119,8
SA20,1,166,2,44,2,7.33,5,0,17,13.9,47.2,8,134,7
LPL,1,172,1,48,4,8.0,5,0,17,13.9,47.2,6,134,7
LPL,1,164,2,29,5,4.83,3,1,19,11.1,52.8,5,91,7
T20 World Cup,1,140,1,45,3,7.5,5,0,22,13.9,61.1,7,127,8
Super Smash,1,138,2,54,0,9.0,5,1,21,16.7,58.3,10,150,2
SA20,1,148,1,45,3,7.5,5,0,18,13.9,50.0,7,120,5
SA20,1,139,2,53,2,8.83,7,3,14,27.8,38.9,8,173,5
IPL,0,162,1,45,4,7.5,4,0,14,11.1,38.9,6,122,7
SA20,1,151,2,36,4,6.0,4,0,21,11.1,58.3,6,97,8
ILT20,0,159,1,48,2,8.0,4,3,19,19.4,52.8,8,133,8
LPL,1,167,2,39,2,6.5,5,0,20,13.9,55.6,8,100,6
T20I,2,174,1,48,2,8.0,5,1,15,16.7,41.7,8,148,8
LPL,2,144,2,50,1,8.33,7,3,22,27.8,61.1,9,156,4
Super Smash,1,150,1,46,3,7.67,6,1,13,19.4,36.1,7,110,8
LPL,2,148,2,22,4,3.67,2,0,21,5.6,58.3,6,55,9
T20I,2,148,1,41,4,6.83,3,2,12,13.9,33.3,6,120,6
T20I,1,161,2,53,2,8.83,4,3,20,19.4,55.6,8,155,4
IPL,2,153,1,50,2,8.33,4,3,14,19.4,38.9,8,169,7
T20 World Cup,1,158,2,34,3,5.67,2,0,17,5.6,47.2,7,87,6
LPL,1,146,1,51,3,8.5,7,2,20,25.0,55.6,7,137,7
Super Smash,1,143,2,50,1,8.33,6,1,22,19.4,61.1,9,140,4
Super Smash,2,148,1,55,1,9.17,7,3,22,27.8,61.1,9,172,7
IPL,2,162,2,45,3,7.5,6,0,22,16.7,61.1,7,147,7
T20 World Cup,1,151,1,32,3,5.33,3,1,13,11.1,36.1,7,93,5
BPL,1,176,2,64,1,10.67,9,0,17,25.0,47.2,9,191,3
T20 World Cup,0,159,1,46,2,7.67,5,2,15,19.4,41.7,8,110,5
ILT20,2,150,2,61,1,10.17,5,0,19,13.9,52.8,9,197,6
BBL,1,170,1,36,3,6.0,4,0,16,11.1,44.4,7,127,8
Super Smash,1,148,2,46,1,7.67,3,0,19,8.3,52.8,9,130,6
BBL,2,139,1,60,2,10.0,7,1,14,22.2,38.9,8,186,8
T20I,1,154,2,39,4,6.5,3,2,21,13.9,58.3,6,112,6
MLC,0,141,1,40,3,6.67,5,2,20,19.4,55.6,7,102,9
MLC,1,171,2,51,2,8.5,4,2,15,16.7,41.7,8,139,8
LPL,0,159,1,41,3,6.83,4,0,13,11.1,36.1,7,91,9
BBL,1,145,2,53,2,8.83,5,2,17,19.4,47.2,8,141,8
CPL,0,166,1,27,3,4.5,3,1,21,11.1,58.3,7,73,6
PSL,0,180,2,39,4,6.5,3,2,19,13.9,52.8,6,99,8
MLC,1,150,1,62,1,10.33,7,1,20,22.2,55.6,9,192,5
T20 World Cup,1,179,2,41,3,6.83,4,0,18,11.1,50.0,7,120,8
LPL,1,152,1,51,1,8.5,5,1,17,16.7,47.2,9,138,5
ILT20,2,149,2,41,3,6.83,5,1,12,16.7,33.3,7,125,8
Super Smash,2,147,1,52,1,8.67,4,1,19,13.9,52.8,9,156,3
MLC,0,181,2,33,5,5.5,4,0,20,11.1,55.6,5,66,9
MLC,2,173,1,36,1,6.0,5,2,18,19.4,50.0,9,103,7
Super Smash,1,163,2,46,1,7.67,6,2,18,22.2,50.0,9,145,5
BPL,1,163,1,52,2,8.67,7,1,17,22.2,47.2,8,140,8
T20 World Cup,0,144,2,46,2,7.67,6,0,14,16.7,38.9,8,120,7
IPL,1,142,1,64,1,10.67,8,4,21,33.3,58.3,9,219,7
CPL,1,171,2,44,3,7.33,4,1,16,13.9,44.4,7,122,9
IPL,1,158,1,57,1,9.5,7,3,19,27.8,52.8,9,199,4
BPL,0,155,2,40,2,6.67,5,2,18,19.4,50.0,8,112,8
T20I,1,153,1,48,2,8.0,6,1,21,19.4,58.3,8,141,4
BPL,2,145,2,51,2,8.5,5,0,16,13.9,44.4,8,143,7
BPL,1,162,1,64,1,10.67,7,2,16,25.0,44.4,9,183,5
BPL,0,157,2,43,2,7.17,6,1,20,19.4,55.6,8,96,4
T20I,2,173,1,70,1,11.67,9,2,17,30.6,47.2,9,215,4
PSL,2,153,2,49,1,8.17,5,2,21,19.4,58.3,9,144,6
CPL,0,143,1,43,3,7.17,3,0,17,8.3,47.2,7,100,8
MLC,2,141,2,52,0,8.67,6,2,19,22.2,52.8,10,158,6
LPL,1,146,1,39,2,6.5,3,1,21,11.1,58.3,8,105,8
ILT20,1,156,2,18,6,3.0,2,1,11,8.3,30.6,4,45,10
ILT20,1,178,1,45,2,7.5,5,0,18,13.9,50.0,8,126,7
T20I,2,147,2,42,3,7.0,4,1,19,13.9,52.8,7,114,5
Super Smash,2,138,1,46,1,7.67,4,0,21,11.1,58.3,9,140,4
MLC,2,151,2,28,6,4.67,2,1,12,8.3,33.3,4,86,10
BBL,2,152,1,46,3,7.67,3,2,16,13.9,44.4,7,140,7
T20I,2,150,2,33,5,5.5,2,0,22,5.6,61.1,5,78,7
T20 World Cup,0,175,1,34,3,5.67,2,0,16,5.6,44.4,7,78,5
ILT20,1,173,2,43,3,7.17,5,1,17,16.7,47.2,7,126,7
BBL,1,160,1,44,3,7.33,4,2,19,16.7,52.8,7,127,7
BBL,1,148,2,57,2,9.5,8,2,17,27.8,47.2,8,175,7
ILT20,0,167,1,43,3,7.17,4,1,21,13.9,58.3,7,116,5
T20 Blast,0,172,2,39,4,6.5,3,0,10,8.3,27.8,6,102,9
BBL,1,152,1,41,4,6.83,4,0,20,11.1,55.6,6,106,6
IPL,1,176,2,56,2,9.33,7,1,16,22.2,44.4,8,171,5
MLC,0,144,1,37,3,6.17,5,2,12,19.4,33.3,7,71,6
IPL,0,173,2,48,1,8.0,4,3,19,19.4,52.8,9,145,5
MLC,0,139,1,47,1,7.83,3,2,17,13.9,47.2,9,127,4
LPL,1,167,2,45,1,7.5,4,0,17,11.1,47.2,9,134,5
CPL,0,157,1,59,1,9.83,5,2,20,19.4,55.6,9,163,5
T20 Blast,1,147,2,41,3,6.83,5,1,18,16.7,50.0,7,120,5
T20I,1,164,1,42,2,7.0,3,2,21,13.9,58.3,8,136,4
T20 Blast,1,155,2,33,6,5.5,4,0,14,11.1,38.9,4,73,10
T20 World Cup,1,168,1,39,2,6.5,5,1,19,16.7,52.8,8,109,8
T20I,1,159,2,56,1,9.33,8,3,16,30.6,44.4,9,157,6
CPL,1,176,1,56,1,9.33,6,0,21,16.7,58.3,9,170,3
