league,pitch_type,venue_avg,innings,pp_runs,pp_wickets,pp_run_rate,pp_fours,pp_sixes,pp_dot_balls,pp_extras,pp_boundary_pct,pp_dot_pct,wickets_in_hand,final_score,final_wickets
CPL,1,181,2,41,2,6.83,4,1,19,0,13.9,52.8,8,99,7
CPL,0,163,1,44,1,7.33,5,0,16,1,13.9,44.4,9,106,7
BPL,2,139,2,46,0,7.67,5,0,21,4,13.9,58.3,10,131,2
Super Smash,1,171,1,47,3,7.83,4,2,22,6,16.7,61.1,7,118,9
IPL,1,158,2,55,1,9.17,6,2,16,1,22.2,44.4,9,192,5
ILT20,1,146,1,43,3,7.17,6,2,19,3,22.2,52.8,7,147,6
MLC,1,140,2,40,4,6.67,4,1,19,1,13.9,52.8,6,99,7
MLC,2,176,1,59,0,9.83,5,2,19,4,19.4,52.8,10,183,3
CPL,1,173,2,47,2,7.83,4,2,18,4,16.7,50.0,8,142,4
T20I,2,138,1,49,2,8.17,5,0,16,3,13.9,44.4,8,145,4
T20 Blast,2,143,2,40,2,6.67,3,2,16,0,13.9,44.4,8,127,8
BPL,0,138,1,42,1,7.0,3,2,17,0,13.9,47.2,9,104,4
CPL,0,161,2,47,0,7.83,3,0,19,3,8.3,52.8,10,135,4
MLC,1,152,1,61,0,10.17,5,1,18,4,16.7,50.0,10,186,2
LPL,0,181,2,26,3,4.33,3,1,20,0,11.1,55.6,7,72,7
BBL,1,176,1,50,2,8.33,6,1,22,2,19.4,61.1,8,162,4
ILT20,1,154,2,52,3,8.67,6,0,16,6,16.7,44.4,7,143,8
T20I,2,176,1,56,2,9.33,4,0,18,2,11.1,50.0,8,182,4
SA20,2,175,2,56,0,9.33,7,3,20,0,27.8,55.6,10,187,2
T20 World Cup,0,164,1,43,3,7.17,3,1,18,3,11.1,50.0,7,97,6
ILT20,2,164,2,68,1,11.33,8,4,22,4,33.3,61.1,9,204,6
CPL,0,169,1,48,1,8.0,4,0,22,5,11.1,61.1,9,121,4
Super Smash,1,145,2,53,1,8.83,4,1,19,5,13.9,52.8,9,160,6
LPL,2,178,1,44,3,7.33,3,1,22,5,11.1,61.1,7,116,7
T20 World Cup,2,144,2,55,0,9.17,6,3,22,0,25.0,61.1,10,186,2
SA20,0,178,1,41,2,6.83,4,0,19,6,11.1,52.8,8,104,4
BBL,2,166,2,66,1,11.0,9,2,18,5,30.6,50.0,9,221,6
T20I,0,147,1,18,4,3.0,2,1,13,5,8.3,36.1,6,57,6
BBL,1,140,2,62,1,10.33,8,2,22,1,27.8,61.1,9,183,6
T20 Blast,1,178,1,51,2,8.5,7,3,19,0,27.8,52.8,8,134,6
PSL,1,147,2,30,6,5.0,3,1,16,4,11.1,44.4,4,49,9
T20I,0,141,1,34,3,5.67,2,1,13,2,8.3,36.1,7,85,5
SA20,2,150,2,41,4,6.83,4,2,16,1,16.7,44.4,6,123,9
Super Smash,1,148,1,44,2,7.33,3,1,20,4,11.1,55.6,8,110,6
BBL,1,151,2,57,1,9.5,8,3,16,4,30.6,44.4,9,179,5
T20 Blast,1,154,1,39,1,6.5,3,0,22,0,8.3,61.1,9,127,6
LPL,1,138,2,52,1,8.67,7,1,17,6,22.2,47.2,9,153,5
BPL,2,155,1,16,6,2.67,2,0,16,4,5.6,44.4,4,59,10
BBL,0,177,2,49,1,8.17,4,3,20,4,19.4,55.6,9,134,3
PSL,1,175,1,64,1,10.67,6,4,19,0,27.8,52.8,9,193,4
CPL,1,154,2,42,2,7.0,5,0,15,5,13.9,41.7,8,125,5
IPL,1,161,1,55,4,9.17,7,0,21,0,19.4,58.3,6,160,10
IPL,1,164,2,46,3,7.67,3,0,14,0,8.3,38.9,7,140,6
T20 Blast,0,174,1,37,2,6.17,5,1,18,5,16.7,50.0,8,93,6
BPL,2,176,2,15,5,2.5,1,1,9,3,5.6,25.0,5,41,8
PSL,2,152,1,52,1,8.67,5,3,22,1,22.2,61.1,9,156,3
T20I,0,171,2,43,3,7.17,5,0,19,4,13.9,52.8,7,118,5
Super Smash,0,150,1,40,1,6.67,3,1,20,0,11.1,55.6,9,101,5
PSL,0,145,2,40,3,6.67,5,0,19,1,13.9,52.8,7,105,9
CPL,0,172,1,40,1,6.67,4,0,19,1,11.1,52.8,9,101,3
T20I,2,179,2,48,2,8.0,5,0,20,0,13.9,55.6,8,155,6
T20I,2,163,1,58,0,9.67,8,0,19,0,22.2,52.8,10,193,3
ILT20,0,181,2,60,0,10.0,6,2,18,5,22.2,50.0,10,181,2
LPL,1,151,1,44,0,7.33,3,0,19,5,8.3,52.8,10,129,2
ILT20,0,152,2,46,1,7.67,6,2,19,2,22.2,52.8,9,118,3
Super Smash,1,179,1,49,3,8.17,4,0,19,1,11.1,52.8,7,121,5
MLC,1,141,2,52,3,8.67,6,2,13,4,22.2,36.1,7,147,7
T20 World Cup,1,153,1,44,4,7.33,3,2,10,0,13.9,27.8,6,123,8
T20I,2,149,2,45,2,7.5,3,0,22,0,8.3,61.1,8,150,4
LPL,0,144,1,42,1,7.0,3,1,16,1,11.1,44.4,9,99,5
BBL,0,166,2,51,2,8.5,6,0,19,1,16.7,52.8,8,144,6
T20I,1,151,1,32,5,5.33,4,1,21,5,13.9,58.3,5,82,9
SA20,1,140,2,47,1,7.83,5,1,17,4,16.7,47.2,9,149,7
MLC,2,167,1,38,3,6.33,3,1,12,5,11.1,33.3,7,104,6
T20 Blast,2,150,2,35,4,5.83,3,2,12,0,13.9,33.3,6,93,10
T20 World Cup,1,158,1,38,3,6.33,3,0,16,1,8.3,44.4,7,102,5
CPL,2,142,2,54,1,9.0,5,3,17,1,22.2,47.2,9,170,6
CPL,1,166,1,37,3,6.17,5,2,15,0,19.4,41.7,7,109,5
SA20,1,153,2,38,4,6.33,3,1,11,6,11.1,30.6,6,111,8
SA20,1,179,1,52,0,8.67,5,0,18,5,13.9,50.0,10,171,3
BBL,0,139,2,44,1,7.33,4,0,16,3,11.1,44.4,9,112,3
BBL,2,159,1,39,3,6.5,3,0,13,6,8.3,36.1,7,106,9
BBL,0,166,2,37,3,6.17,4,2,13,3,16.7,36.1,7,94,5
CPL,0,179,1,41,3,6.83,3,0,15,0,8.3,41.7,7,95,5
T20 Blast,0,166,2,41,3,6.83,3,0,13,3,8.3,36.1,7,99,8
T20I,1,170,1,56,2,9.33,6,0,22,2,16.7,61.1,8,148,7
LPL,0,159,2,46,0,7.67,4,0,20,1,11.1,55.6,10,131,6
IPL,0,147,1,36,3,6.0,3,0,22,5,8.3,61.1,7,105,9
T20 Blast,1,165,2,52,2,8.67,4,2,21,0,16.7,58.3,8,132,7
CPL,2,152,1,52,2,8.67,4,0,21,3,11.1,58.3,8,160,7
Super Smash,0,155,2,31,4,5.17,3,0,10,6,8.3,27.8,6,66,9
IPL,1,141,1,48,2,8.0,4,1,18,3,13.9,50.0,8,145,8
LPL,1,160,2,44,2,7.33,4,0,15,0,11.1,41.7,8,123,6
T20 World Cup,2,174,1,42,3,7.0,6,0,16,6,16.7,44.4,7,103,5
LPL,1,139,2,33,2,5.5,2,1,19,3,8.3,52.8,8,108,6
T20 World Cup,2,145,1,45,2,7.5,5,0,19,6,13.9,52.8,8,144,6
T20 World Cup,1,152,2,41,3,6.83,4,0,16,3,11.1,44.4,7,118,7
IPL,1,176,1,60,1,10.0,8,2,18,4,27.8,50.0,9,207,3
ILT20,0,158,2,34,5,5.67,2,2,15,6,11.1,41.7,5,85,9
BBL,2,162,1,50,2,8.33,6,2,17,0,22.2,47.2,8,158,5
BPL,2,168,2,20,6,3.33,1,1,20,6,5.6,55.6,4,55,10
PSL,0,141,1,44,3,7.33,5,1,21,3,16.7,58.3,7,116,7
IPL,1,176,2,40,4,6.67,4,0,21,3,11.1,58.3,6,102,9
T20 World Cup,0,181,1,42,2,7.0,3,1,16,4,11.1,44.4,8,94,5
IPL,1,172,2,76,0,12.67,7,4,20,2,30.6,55.6,10,263,2
BPL,2,153,1,42,2,7.0,3,2,21,4,13.9,58.3,8,128,8
T20I,0,162,2,25,2,4.17,2,0,20,0,5.6,55.6,8,60,8
CPL,1,157,1,40,0,6.67,3,0,19,5,8.3,52.8,10,126,2
LPL,0,154,2,31,4,5.17,2,1,19,5,8.3,52.8,6,70,10
T20 Blast,1,139,1,45,2,7.5,5,0,14,1,13.9,38.9,8,119,8
SA20,2,179,2,41,4,6.83,3,2,13,3,13.9,36.1,6,110,7
IPL,0,155,1,40,3,6.67,3,0,18,2,8.3,50.0,7,102,6
T20 Blast,1,180,2,38,2,6.33,5,1,18,2,16.7,50.0,8,94,7
BPL,2,173,1,40,4,6.67,5,0,17,1,13.9,47.2,6,115,8
PSL,1,174,2,48,3,8.0,4,2,14,4,16.7,38.9,7,149,8
BBL,0,165,1,40,3,6.67,4,2,21,3,16.7,58.3,7,105,8
MLC,1,173,2,43,3,7.17,4,1,16,5,13.9,44.4,7,118,9
MLC,1,154,1,50,3,8.33,4,0,18,5,11.1,50.0,7,140,7
MLC,1,167,2,66,1,11.0,8,3,16,6,30.6,44.4,9,208,5
LPL,1,177,1,45,3,7.5,6,0,17,5,16.7,47.2,7,119,8
MLC,2,176,2,55,1,9.17,7,2,22,3,25.0,61.1,9,179,7
PSL,1,154,1,45,2,7.5,6,2,14,0,22.2,38.9,8,137,6
T20 World Cup,1,169,2,47,4,7.83,5,1,20,1,16.7,55.6,6,116,7
LPL,2,170,1,28,4,4.67,3,0,14,4,8.3,38.9,6,80,8
Super Smash,2,181,2,39,1,6.5,4,2,20,3,16.7,55.6,9,101,3
ILT20,1,150,1,29,4,4.83,2,1,22,3,8.3,61.1,6,78,9
ILT20,0,169,2,42,2,7.0,6,0,16,6,16.7,44.4,8,125,7
LPL,1,138,1,38,4,6.33,4,0,19,6,11.1,52.8,6,87,6
LPL,1,157,2,49,2,8.17,4,3,17,1,19.4,47.2,8,147,4
IPL,0,139,1,36,4,6.0,5,1,19,2,16.7,52.8,6,86,10
Super Smash,1,155,2,45,2,7.5,4,0,18,5,11.1,50.0,8,113,5
T20 Blast,2,158,1,63,0,10.5,5,2,22,5,19.4,61.1,10,194,6
SA20,0,157,2,49,1,8.17,4,2,22,1,16.7,61.1,9,129,6
IPL,1,160,1,54,1,9.0,4,1,17,2,13.9,47.2,9,170,6
ILT20,0,165,2,46,4,7.67,5,2,15,2,19.4,41.7,6,117,10
CPL,1,150,1,39,3,6.5,5,2,16,1,19.4,44.4,7,107,9
CPL,1,162,2,39,4,6.5,5,1,11,1,16.7,30.6,6,115,9
Super Smash,0,160,1,36,2,6.0,4,0,14,3,11.1,38.9,8,73,8
SA20,2,173,2,51,2,8.5,6,0,15,5,16.7,41.7,8,150,6
IPL,0,167,1,48,2,8.0,6,1,16,3,19.4,44.4,8,146,8
Super Smash,1,147,2,52,2,8.67,7,1,21,0,22.2,58.3,8,145,8
BPL,0,167,1,36,0,6.0,5,2,22,3,19.4,61.1,10,101,6
BPL,2,148,2,63,2,10.5,6,0,22,2,16.7,61.1,8,183,8
CPL,1,175,1,42,2,7.0,5,2,21,5,19.4,58.3,8,130,8
Super Smash,2,163,2,50,1,8.33,4,2,16,1,16.7,44.4,9,142,6
ILT20,1,141,1,72,1,12.0,6,1,22,4,19.4,61.1,9,225,6
T20 World Cup,1,139,2,53,3,8.83,7,2,14,5,25.0,38.9,7,152,6
SA20,1,164,1,46,0,7.67,3,1,20,6,11.1,55.6,10,141,5
PSL,2,144,2,53,2,8.83,7,1,21,5,22.2,58.3,8,169,4
T20I,2,180,1,38,3,6.33,5,2,21,2,19.4,58.3,7,117,8
T20 Blast,0,179,2,40,2,6.67,4,1,20,5,13.9,55.6,8,94,7
T20 Blast,1,172,1,17,5,2.83,2,1,18,0,8.3,50.0,5,34,10
BBL,0,177,2,50,3,8.33,7,0,20,6,19.4,55.6,7,131,7
T20I,1,180,1,54,2,9.0,7,1,15,0,22.2,41.7,8,155,8
IPL,2,141,2,50,3,8.33,7,3,20,2,27.8,55.6,7,158,9
PSL,1,170,1,49,2,8.17,6,2,18,2,22.2,50.0,8,143,5
SA20,2,150,2,35,5,5.83,2,2,15,2,11.1,41.7,5,113,8
SA20,1,173,1,39,4,6.5,3,0,14,1,8.3,38.9,6,108,9
T20 World Cup,0,179,2,28,5,4.67,3,1,15,5,11.1,41.7,5,87,9
T20I,1,165,1,30,3,5.0,2,1,12,3,8.3,33.3,7,76,9
BPL,1,147,2,39,2,6.5,3,2,18,0,13.9,50.0,8,99,7
T20I,2,138,1,49,2,8.17,4,3,15,0,19.4,41.7,8,147,6
MLC,1,166,2,47,3,7.83,3,0,13,0,8.3,36.1,7,121,5
CPL,2,160,1,61,0,10.17,5,1,21,5,16.7,58.3,10,199,5
SA20,2,173,2,45,3,7.5,6,1,14,0,19.4,38.9,7,139,6
BPL,2,181,1,58,1,9.67,6,3,21,4,25.0,58.3,9,173,6
PSL,1,161,2,69,0,11.5,6,2,19,1,22.2,52.8,10,202,6
Super Smash,1,165,1,66,2,11.0,8,3,17,3,30.6,47.2,8,188,6
PSL,1,157,2,41,3,6.83,5,2,16,1,19.4,44.4,7,121,9
T20 World Cup,0,160,1,37,3,6.17,4,1,20,4,13.9,55.6,7,76,8
IPL,1,150,2,57,2,9.5,8,1,21,2,25.0,58.3,8,195,5
BBL,2,154,1,58,2,9.67,8,1,14,0,25.0,38.9,8,186,6
LPL,1,167,2,41,2,6.83,4,0,16,3,11.1,44.4,8,114,4
T20 World Cup,0,167,1,37,2,6.17,4,0,15,5,11.1,41.7,8,84,4
T20 World Cup,1,156,2,70,0,11.67,5,0,22,2,13.9,61.1,10,231,4
LPL,2,158,1,48,2,8.0,6,2,22,0,22.2,61.1,8,148,8
BPL,2,149,2,48,1,8.0,5,2,20,3,19.4,55.6,9,152,7
T20 World Cup,1,170,1,48,2,8.0,4,2,15,3,16.7,41.7,8,135,4
T20I,1,169,2,57,2,9.5,4,3,18,6,19.4,50.0,8,167,7
T20 Blast,1,144,1,54,2,9.0,6,1,17,3,19.4,47.2,8,142,5
BPL,0,160,2,43,2,7.17,6,1,18,1,19.4,50.0,8,98,4
CPL,1,149,1,62,1,10.33,8,0,19,5,22.2,52.8,9,180,7
PSL,0,178,2,34,2,5.67,2,1,20,0,8.3,55.6,8,105,4
SA20,2,157,1,65,3,10.83,6,3,13,2,25.0,36.1,7,198,5
T20 Blast,1,146,2,38,3,6.33,3,2,15,1,13.9,41.7,7,88,9
LPL,2,175,1,41,2,6.83,3,1,22,5,11.1,61.1,8,135,7
IPL,2,164,2,28,6,4.67,4,0,6,2,11.1,16.7,4,84,10
PSL,2,143,1,48,1,8.0,6,1,16,2,19.4,44.4,9,147,5
BBL,0,157,2,41,1,6.83,4,0,22,3,11.1,61.1,9,128,5
IPL,2,165,1,67,0,11.17,6,3,20,6,25.0,55.6,10,241,5
MLC,0,157,2,28,3,4.67,2,0,14,0,5.6,38.9,7,74,5
ILT20,1,140,1,18,6,3.0,2,1,13,5,8.3,36.1,4,51,8
IPL,1,148,2,53,0,8.83,7,1,21,2,22.2,58.3,10,176,5
T20I,1,149,1,54,4,9.0,5,1,16,3,16.7,44.4,6,124,6
T20 Blast,0,144,2,40,1,6.67,3,0,22,1,8.3,61.1,9,103,5
IPL,0,156,1,49,2,8.17,6,3,18,6,25.0,50.0,8,130,4
LPL,2,147,2,47,1,7.83,4,2,21,5,16.7,58.3,9,153,5
T20 World Cup,1,168,1,52,2,8.67,6,1,18,1,19.4,50.0,8,150,5
BBL,1,162,2,57,1,9.5,7,1,21,5,22.2,58.3,9,179,3
T20 Blast,2,177,1,41,3,6.83,4,2,22,5,16.7,61.1,7,110,7
T20 World Cup,0,148,2,55,1,9.17,4,2,19,6,16.7,52.8,9,157,3
MLC,2,159,1,47,4,7.83,4,0,13,2,11.1,36.1,6,126,10
BPL,2,173,2,22,5,3.67,3,0,14,4,8.3,38.9,5,41,7
T20 Blast,1,166,1,35,3,5.83,3,2,13,5,13.9,36.1,7,88,6
MLC,0,156,2,50,1,8.33,7,1,19,4,22.2,52.8,9,121,3
BBL,0,179,1,49,2,8.17,5,1,20,0,16.7,55.6,8,136,5
LPL,1,178,2,43,2,7.17,3,0,20,1,8.3,55.6,8,130,7
T20I,1,163,1,56,1,9.33,8,0,18,1,22.2,50.0,9,189,5
CPL,0,168,2,30,4,5.0,3,1,15,3,11.1,41.7,6,80,7
LPL,1,167,1,54,3,9.0,4,2,22,3,16.7,61.1,7,159,7
T20 World Cup,0,174,2,38,3,6.33,4,2,15,1,16.7,41.7,7,82,6
LPL,1,180,1,43,2,7.17,4,1,21,4,13.9,58.3,8,123,8
BPL,0,181,2,50,1,8.33,7,1,19,5,22.2,52.8,9,130,6
T20I,1,172,1,48,2,8.0,5,0,18,2,13.9,50.0,8,139,4
PSL,0,175,2,38,3,6.33,4,1,12,3,13.9,33.3,7,94,5
CPL,0,160,1,50,1,8.33,5,0,20,5,13.9,55.6,9,135,5
Super Smash,0,148,2,47,2,7.83,4,1,20,4,13.9,55.6,8,114,6
LPL,2,139,1,45,2,7.5,3,1,18,4,11.1,50.0,8,124,5
CPL,0,155,2,22,3,3.67,3,0,22,2,8.3,61.1,7,52,8
BPL,1,176,1,23,3,3.83,3,0,15,4,8.3,41.7,7,56,8
CPL,1,164,2,22,6,3.67,3,1,9,5,11.1,25.0,4,52,10
T20I,1,153,1,35,5,5.83,3,1,9,6,11.1,25.0,5,83,7
Super Smash,1,159,2,38,1,6.33,5,1,20,5,16.7,55.6,9,111,7
ILT20,2,178,1,35,4,5.83,2,2,11,4,11.1,30.6,6,107,7
LPL,1,142,2,52,3,8.67,7,3,14,1,27.8,38.9,7,145,7
BPL,2,170,1,38,3,6.33,3,0,16,1,8.3,44.4,7,98,5
PSL,1,146,2,48,3,8.0,4,3,14,4,19.4,38.9,7,140,6
IPL,2,170,1,61,1,10.17,6,2,22,4,22.2,61.1,9,206,6
Super Smash,1,162,2,43,1,7.17,5,0,19,5,13.9,52.8,9,123,6
IPL,1,162,1,79,2,13.17,7,3,19,4,27.8,52.8,8,265,7
PSL,2,158,2,65,2,10.83,7,1,18,5,22.2,50.0,8,193,8
BBL,2,164,1,48,2,8.0,6,0,15,3,16.7,41.7,8,163,6
T20 World Cup,2,141,2,50,0,8.33,6,3,22,1,25.0,61.1,10,149,5
LPL,1,157,1,29,4,4.83,2,1,16,2,8.3,44.4,6,84,8
MLC,0,172,2,33,3,5.5,4,2,13,1,16.7,36.1,7,85,7
BPL,1,179,1,59,1,9.83,8,3,16,6,30.6,44.4,9,190,4
T20 Blast,0,143,2,34,4,5.67,4,2,22,1,16.7,61.1,6,95,10
MLC,2,146,1,52,0,8.67,4,3,20,3,19.4,55.6,10,169,6
BBL,0,157,2,43,3,7.17,4,2,21,3,16.7,58.3,7,117,5
Super Smash,0,151,1,49,0,8.17,5,1,20,1,16.7,55.6,10,126,3
IPL,0,165,2,53,2,8.83,4,1,21,5,13.9,58.3,8,155,6
T20 World Cup,1,157,1,49,4,8.17,7,3,15,4,27.8,41.7,6,135,10
IPL,1,165,2,59,0,9.83,8,2,19,0,27.8,52.8,10,224,3
T20 Blast,2,148,1,57,1,9.5,8,1,16,6,25.0,44.4,9,177,5
T20 World Cup,1,141,2,59,0,9.83,7,2,20,5,25.0,55.6,10,183,2
PSL,1,168,1,46,1,7.67,5,1,22,6,16.7,61.1,9,138,6
T20I,0,160,2,29,4,4.83,4,0,19,4,11.1,52.8,6,66,8
LPL,0,148,1,33,5,5.5,4,2,15,4,16.7,41.7,5,87,10
T20I,1,161,2,51,3,8.5,7,2,18,0,25.0,50.0,7,150,8
MLC,2,157,1,52,2,8.67,4,3,15,2,19.4,41.7,8,142,6
Super Smash,1,163,2,63,1,10.5,8,0,21,6,22.2,58.3,9,185,7
ILT20,2,172,1,68,1,11.33,6,0,21,3,16.7,58.3,9,216,7
ILT20,0,144,2,35,3,5.83,4,0,13,5,11.1,36.1,7,94,6
T20 World Cup,0,140,1,53,2,8.83,5,1,20,2,16.7,55.6,8,135,4
T20 World Cup,2,173,2,43,3,7.17,5,0,20,3,13.9,55.6,7,117,7
LPL,0,158,1,34,4,5.67,3,1,14,4,11.1,38.9,6,58,6
BBL,0,144,2,51,1,8.5,7,0,18,0,19.4,50.0,9,144,4
SA20,1,166,1,65,3,10.83,5,1,18,1,16.7,50.0,7,172,6
MLC,2,144,2,52,1,8.67,7,1,21,6,22.2,58.3,9,165,3
CPL,1,170,1,52,3,8.67,6,1,14,2,19.4,38.9,7,133,6
BPL,0,139,2,42,2,7.0,5,2,19,0,19.4,52.8,8,114,7
CPL,2,159,1,52,2,8.67,5,0,21,3,13.9,58.3,8,156,8
LPL,2,167,2,41,2,6.83,5,0,20,4,13.9,55.6,8,111,7
T20 Blast,2,170,1,44,2,7.33,4,0,22,4,11.1,61.1,8,126,4
MLC,2,145,2,29,3,4.83,4,0,13,6,11.1,36.1,7,80,5
T20 World Cup,0,141,1,39,2,6.5,3,1,18,6,11.1,50.0,8,108,5
BPL,2,180,2,47,2,7.83,6,2,20,1,22.2,55.6,8,152,7
SA20,1,152,1,60,1,10.0,8,3,19,6,30.6,52.8,9,190,5
BBL,2,181,2,60,1,10.0,5,1,22,3,16.7,61.1,9,188,4
LPL,1,141,1,53,0,8.83,7,3,21,5,27.8,58.3,10,160,4
BPL,2,155,2,59,2,9.83,5,3,15,2,22.2,41.7,8,164,7
ILT20,1,175,1,65,1,10.83,9,1,18,4,27.8,50.0,9,196,5
T20 World Cup,1,171,2,62,1,10.33,7,1,22,5,22.2,61.1,9,197,5
T20I,1,139,1,38,3,6.33,4,2,14,6,16.7,38.9,7,107,7
T20 World Cup,2,151,2,34,3,5.67,3,1,13,0,11.1,36.1,7,102,7
LPL,1,168,1,53,2,8.83,4,0,14,2,11.1,38.9,8,136,8
PSL,0,153,2,33,1,5.5,2,0,16,5,5.6,44.4,9,90,4
IPL,2,158,1,77,0,12.83,10,1,19,1,30.6,52.8,10,265,5
ILT20,1,169,2,64,0,10.67,8,4,22,1,33.3,61.1,10,204,6
T20 Blast,1,142,1,40,3,6.67,3,0,12,4,8.3,33.3,7,112,7
ILT20,1,151,2,36,4,6.0,5,1,15,5,16.7,41.7,6,102,7
T20 Blast,2,178,1,42,2,7.0,3,2,20,4,13.9,55.6,8,113,7
T20I,2,181,2,46,3,7.67,3,1,16,6,11.1,44.4,7,135,5
LPL,2,175,1,42,2,7.0,3,0,15,2,8.3,41.7,8,139,5
LPL,1,157,2,45,1,7.5,3,1,19,4,11.1,52.8,9,127,6
Super Smash,2,154,1,32,3,5.33,3,2,21,6,13.9,58.3,7,94,6
PSL,1,180,2,43,4,7.17,3,2,19,3,13.9,52.8,6,120,8
SA20,1,163,1,45,2,7.5,3,1,18,1,11.1,50.0,8,140,5
T20I,1,166,2,25,4,4.17,3,1,13,5,11.1,36.1,6,57,8
BBL,0,145,1,58,1,9.67,5,2,18,3,19.4,50.0,9,166,4
Super Smash,1,140,2,52,2,8.67,4,0,22,1,11.1,61.1,8,128,4
IPL,0,138,1,60,0,10.0,6,2,22,4,22.2,61.1,10,198,6
T20I,0,151,2,37,2,6.17,4,2,18,0,16.7,50.0,8,72,7
LPL,1,155,1,59,1,9.83,8,1,17,2,25.0,47.2,9,176,6
BPL,1,158,2,54,1,9.0,4,1,20,5,13.9,55.6,9,143,4
LPL,0,168,1,42,1,7.0,4,2,16,5,16.7,44.4,9,115,4
T20 World Cup,1,144,2,55,1,9.17,6,0,21,6,16.7,58.3,9,156,7
IPL,1,153,1,50,3,8.33,7,1,16,2,22.2,44.4,7,158,9
IPL,0,158,2,51,1,8.5,7,3,19,2,27.8,52.8,9,161,5
BPL,1,145,1,50,2,8.33,5,1,22,6,16.7,61.1,8,122,6
LPL,1,154,2,58,1,9.67,8,0,19,2,22.2,52.8,9,167,3
CPL,1,158,1,58,1,9.67,7,1,22,3,22.2,61.1,9,180,5
LPL,1,153,2,42,3,7.0,4,0,16,3,11.1,44.4,7,112,8
SA20,1,180,1,47,1,7.83,5,2,21,1,19.4,58.3,9,163,4
T20 Blast,1,156,2,42,2,7.0,3,1,19,1,11.1,52.8,8,104,5
T20I,1,171,1,57,0,9.5,7,1,21,4,22.2,58.3,10,195,3
BPL,1,172,2,57,1,9.5,5,0,19,3,13.9,52.8,9,147,4
LPL,0,178,1,49,1,8.17,4,0,18,1,11.1,50.0,9,119,5
BBL,1,161,2,62,2,10.33,6,0,22,6,16.7,61.1,8,187,8
ILT20,0,159,1,40,2,6.67,5,2,16,3,19.4,44.4,8,99,7
T20I,1,147,2,40,3,6.67,3,1,19,0,11.1,52.8,7,104,9
IPL,2,172,1,45,2,7.5,3,2,16,5,13.9,44.4,8,145,7
T20 World Cup,2,181,2,40,5,6.67,4,2,22,6,16.7,61.1,5,98,10
T20I,1,153,1,47,3,7.83,3,2,12,5,13.9,33.3,7,143,6
ILT20,2,151,2,51,1,8.5,5,1,20,5,16.7,55.6,9,166,5
BPL,2,144,1,52,0,8.67,4,1,22,6,13.9,61.1,10,159,5
T20I,1,164,2,51,2,8.5,4,2,15,4,16.7,41.7,8,147,5
Super Smash,2,167,1,64,0,10.67,7,3,20,6,27.8,55.6,10,191,4
CPL,1,169,2,57,1,9.5,5,2,22,2,19.4,61.1,9,164,7
BBL,1,180,1,35,4,5.83,3,0,17,0,8.3,47.2,6,92,7
MLC,1,170,2,45,2,7.5,6,0,17,0,16.7,47.2,8,103,8
BBL,2,138,1,55,2,9.17,7,2,17,1,25.0,47.2,8,163,5
MLC,2,144,2,43,3,7.17,5,2,12,1,19.4,33.3,7,102,5
T20 Blast,1,152,1,56,1,9.33,4,2,19,4,16.7,52.8,9,154,6
MLC,1,150,2,47,2,7.83,4,0,22,5,11.1,61.1,8,140,8
PSL,0,164,1,54,1,9.0,5,3,20,2,22.2,55.6,9,134,5
ILT20,2,168,2,47,3,7.83,4,1,20,1,13.9,55.6,7,135,6
BPL,1,177,1,62,1,10.33,6,3,20,2,25.0,55.6,9,169,4
PSL,1,175,2,65,1,10.83,9,1,20,6,27.8,55.6,9,213,7
SA20,2,158,1,62,1,10.33,6,0,19,0,16.7,52.8,9,198,4
T20 World Cup,1,177,2,46,4,7.67,5,0,21,1,13.9,58.3,6,122,6
T20I,0,181,1,47,4,7.83,5,0,18,3,13.9,50.0,6,85,7
BBL,1,158,2,59,2,9.83,8,1,14,5,25.0,38.9,8,186,6
LPL,0,142,1,46,2,7.67,4,2,16,4,16.7,44.4,8,125,8
BBL,1,153,2,70,1,11.67,6,3,18,2,25.0,50.0,9,219,7
T20 World Cup,0,167,1,48,1,8.0,6,2,17,5,22.2,47.2,9,146,4
Super Smash,0,165,2,36,1,6.0,4,0,17,4,11.1,47.2,9,105,7
ILT20,1,162,1,41,3,6.83,5,2,19,4,19.4,52.8,7,101,8
SA20,1,170,2,47,1,7.83,5,0,22,1,13.9,61.1,9,138,5
SA20,1,141,1,47,3,7.83,4,2,13,0,16.7,36.1,7,120,7
BBL,2,148,2,69,0,11.5,5,1,20,0,16.7,55.6,10,228,4
T20 World Cup,2,173,1,65,2,10.83,5,4,19,2,25.0,52.8,8,205,6
ILT20,0,147,2,31,4,5.17,2,1,19,1,8.3,52.8,6,82,9
BBL,2,148,1,54,2,9.0,5,2,15,1,19.4,41.7,8,189,8
BPL,1,138,2,37,4,6.17,4,1,18,4,13.9,50.0,6,84,10
BBL,1,180,1,55,2,9.17,5,1,15,3,16.7,41.7,8,169,7
T20 World Cup,0,145,2,54,0,9.0,6,3,21,4,25.0,58.3,10,165,6
BPL,1,146,1,36,2,6.0,3,2,20,5,13.9,55.6,8,91,4
LPL,1,160,2,56,2,9.33,8,1,19,6,25.0,52.8,8,139,6
LPL,1,158,1,57,3,9.5,7,3,16,3,27.8,44.4,7,145,6
